1,Brasil,3,Croacia,1
2,México,1,Camerún,0
3,España,1,Países Bajos,5
4,Chile,3,Australia,1
5,Colombia,3,Grecia,0
6,Costa de Marfil,2,Japón,1
7,Uruguay,1,Costa Rica,3
8,Inglaterra,1,Italia,2
9,Suiza,2,Ecuador,1
10,Francia,3,Honduras,0
11,Argentina,2,Bosnia y Herzegovina,1
12,Irán,0,Nigeria,0
13,Alemania,4,Portugal,0
14,Ghana,1,Estados Unidos,2
15,Bélgica,2,Argelia,1
16,Brasil,0,México,0
17,Rusia,1,Corea del Sur,1
18,Australia,2,Países Bajos,3
19,España,0,Chile,2
20,Camerún,0,Croacia,4
21,Colombia,2,Costa de Marfil,1
22,Uruguay,2,Inglaterra,1
23,Grecia,0,Japón,0
24,Italia,0,Costa Rica,1
25,Suiza,2,Francia,5
26,Ecuador,2,Honduras,1
27,Argentina,1,Irán,0
28,Alemania,2,Ghana,2
29,Nigeria,1,Bosnia y Herzegovina,0
30,Bélgica,1,Rusia,0
31,Corea del Sur,2,Argelia,4
32,Estados Unidos,2,Portugal,2
33,Países Bajos,2,Chile,0
34,Australia,0,España,3
35,Camerún,1,Brasil,4
36,Croacia,1,México,3
37,Italia,0,Uruguay,1
38,Costa Rica,0,Inglaterra,0
39,Grecia,2,Costa de Marfil,1
40,Japón,1,Colombia,4
41,Nigeria,2,Argentina,3
42,Bosnia y Herzegovina,3,Irán,1
43,Suiza,3,Honduras,0
44,Ecuador,0,Francia,0
45,Estados Unidos,0,Alemania,1
46,Portugal,2,Ghana,1
47,Corea del Sur,0,Bélgica,1
48,Argelia,1,Rusia,1
49,Brasil,1,Chile,1
50,Colombia,2,Uruguay,0
51,Países Bajos,2,México,1
52,Costa Rica,1,Grecia,1
53,Francia,2,Nigeria,0
54,Alemania,2,Argelia,1
55,Argentina,1,Suiza,0
56,Bélgica,2,Estados Unidos,1
57,Brasil,2,Colombia,1
58,Alemania,1,Francia,0
59,Argentina,1,Bélgica,0
60,Países Bajos,0,Costa Rica,0
61,Brasil,1,Alemania,7
62,Argentina,0,Países Bajos,0
63,Brasil,0,Países Bajos,3
64,Alemania,1,Argentina,0
