T_i,B_i
8,100
22,100
34,100
17,100
34,100
24,100
42,100
13,100
2,100
38,100
48,100
3,100
13,100
19,100
31,100
14,100
18,100
49,100
9,100
5,100
5,100
15,100
42,100
46,100
24,100
9,100
46,100
44,100
26,100
11,100
41,100
10,100
42,100
37,100
23,100
12,100
28,100
25,100
13,100
31,100
38,100
14,100
42,100
17,100
4,100
1,100
31,100
18,100
2,100
39,100
16,100
27,100
12,100
11,100
31,100
31,100
24,100
21,100
32,100
11,100
46,100
29,100
31,100
39,100
25,100
32,100
43,100
12,100
49,100
39,100
26,100
39,100
39,100
15,100
24,100
2,100
24,100
26,100
35,100
44,100
11,100
45,100
49,100
35,100
8,100
47,100
12,100
43,100
45,100
20,100
8,100
3,100
21,100
25,100
25,100
35,100
46,100
38,100
25,100
32,100
