T_i,B_i
7,100
35,100
8,100
27,100
38,100
15,100
23,100
48,100
16,100
41,100
36,100
6,100
34,100
11,100
13,100
48,100
31,100
18,100
32,100
34,100
37,100
27,100
32,100
23,100
3,100
32,100
25,100
12,100
15,100
20,100
48,100
15,100
48,100
21,100
23,100
39,100
43,100
44,100
38,100
10,100
8,100
12,100
48,100
1,100
45,100
2,100
7,100
7,100
22,100
41,100
13,100
17,100
5,100
7,100
25,100
4,100
11,100
46,100
28,100
32,100
9,100
20,100
34,100
19,100
30,100
43,100
31,100
37,100
8,100
39,100
20,100
34,100
34,100
18,100
41,100
11,100
15,100
3,100
40,100
45,100
